YEAR,FL_DATE,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,CRS_ARR_TIME,ARR_TIME,WEATHER_DELAY,CRS_DEP_DATETIME,CRS_ARR_DATETIME,origin_temp,dest_temp,origin_dwpt,dest_dwpt,origin_rhum,dest_rhum,origin_prcp,dest_prcp,origin_snow,dest_snow,origin_wdir,dest_wdir,origin_wspd,dest_wspd,origin_wpgt,dest_wpgt,origin_pres,dest_pres,origin_coco,dest_coco
2020,2020-01-01,ABE,ATL,600,555.0,833,803.0,0.0,2020-01-01 06:00:00,2020-01-01 08:33:00,-2.2,-2.8,-8.3,-7.7,63.0,69.0,0.0,0.0,,,240.0,230.0,22.3,16.6,22.3,16.6,1025.0,1024.6,,
2020,2020-01-01,ABE,CLT,1123,1114.0,1335,1330.0,0.0,2020-01-01 11:23:00,2020-01-01 13:35:00,2.8,3.3,-13.1,-9.0,30.0,40.0,0.0,0.0,,,210.0,220.0,11.2,14.8,11.2,14.8,1018.0,1022.0,,
2020,2020-01-01,ABE,CLT,1818,1815.0,2035,2007.0,0.0,2020-01-01 18:18:00,2020-01-01 20:35:00,2.8,3.3,-7.7,-9.4,46.0,39.0,0.0,0.0,,,230.0,230.0,11.2,13.0,11.2,13.0,1017.6,1017.4,,
2020,2020-01-01,ABE,DTW,535,530.0,739,657.0,0.0,2020-01-01 05:35:00,2020-01-01 07:39:00,1.1,2.8,-0.7,0.5,88.0,85.0,0.0,0.0,,,300.0,220.0,13.0,7.6,13.0,7.6,1010.2,1013.5,5.0,5.0
2020,2020-01-01,ABE,DTW,1742,1816.0,1938,1957.0,0.0,2020-01-01 17:42:00,2020-01-01 19:38:00,0.6,0.6,-0.6,0.0,92.0,96.0,,,,,310.0,310.0,16.6,20.5,16.6,20.5,1011.8,1011.1,5.0,5.0
2020,2020-01-01,ABE,ORD,755,748.0,919,905.0,0.0,2020-01-01 07:55:00,2020-01-01 09:19:00,-2.8,0.6,-6.6,-3.9,75.0,72.0,0.0,0.0,,,280.0,310.0,20.5,31.7,20.5,31.7,1015.5,1013.5,,
2020,2020-01-01,ABE,ORD,1505,1500.0,1641,1603.0,0.0,2020-01-01 15:05:00,2020-01-01 16:41:00,-3.3,-3.3,-7.8,-7.3,71.0,74.0,0.0,0.0,,,300.0,310.0,27.7,25.9,27.7,25.9,1015.4,1015.1,,
2020,2020-01-01,ABE,ORD,1725,1723.0,1848,1902.0,0.0,2020-01-01 17:25:00,2020-01-01 18:48:00,-4.4,-3.9,-8.9,-7.2,71.0,78.0,0.0,0.0,,,340.0,320.0,9.4,18.4,9.4,18.4,1012.2,1014.6,,
2020,2020-01-01,ABE,PGD,1325,1322.0,1611,1611.0,0.0,2020-01-01 13:25:00,2020-01-01 16:11:00,-5.0,-5.0,-8.9,-9.4,74.0,71.0,0.0,0.0,,,330.0,340.0,7.6,9.4,7.6,9.4,1011.6,1011.5,14.0,
2020,2020-01-01,ABE,PHL,1308,1301.0,1354,1336.0,0.0,2020-01-01 13:08:00,2020-01-01 13:54:00,-4.4,-3.9,-8.9,-8.2,71.0,72.0,0.0,0.0,,,310.0,320.0,35.3,22.3,35.3,22.3,1013.2,1009.5,,
2020,2020-01-01,ABE,SFB,1112,1109.0,1343,1329.0,0.0,2020-01-01 11:12:00,2020-01-01 13:43:00,-2.8,-2.2,-6.1,-6.8,78.0,71.0,0.0,0.0,,,250.0,280.0,31.7,24.1,31.7,24.1,1010.6,1014.8,,
2020,2020-01-01,ABE,SFB,1745,1745.0,2016,2002.0,0.0,2020-01-01 17:45:00,2020-01-01 20:16:00,0.6,0.0,-1.6,-3.9,85.0,75.0,0.0,0.0,,,300.0,260.0,14.8,14.8,14.8,14.8,1016.2,1008.6,5.0,
2020,2020-01-01,ABI,DFW,635,634.0,736,721.0,0.0,2020-01-01 06:35:00,2020-01-01 07:36:00,0.0,0.0,-2.2,-2.2,85.0,85.0,0.0,0.0,,,290.0,290.0,14.8,9.4,14.8,9.4,1019.3,1018.2,5.0,5.0
2020,2020-01-01,ABI,DFW,720,713.0,822,808.0,0.0,2020-01-01 07:20:00,2020-01-01 08:22:00,4.4,7.2,-1.6,-1.7,65.0,53.0,0.0,0.0,,,200.0,340.0,11.2,5.4,11.2,5.4,1018.7,1020.3,,
2020,2020-01-01,ABI,DFW,825,823.0,928,923.0,0.0,2020-01-01 08:25:00,2020-01-01 09:28:00,6.1,5.0,-1.8,-1.7,57.0,62.0,0.0,0.0,,,200.0,220.0,9.4,11.2,9.4,11.2,1019.3,1019.1,,
2020,2020-01-01,ABI,DFW,1028,1049.0,1130,1149.0,0.0,2020-01-01 10:28:00,2020-01-01 11:30:00,8.3,14.4,0.0,-0.5,56.0,36.0,0.0,0.0,,,180.0,240.0,7.6,18.4,7.6,18.4,1016.5,1016.8,,
2020,2020-01-01,ABI,DFW,1223,1212.0,1323,1306.0,0.0,2020-01-01 12:23:00,2020-01-01 13:23:00,8.9,8.3,-1.0,-1.0,50.0,52.0,0.0,0.0,,,160.0,140.0,7.6,7.6,7.6,7.6,1015.6,1015.7,,
2020,2020-01-01,ABI,DFW,1637,1631.0,1737,1722.0,0.0,2020-01-01 16:37:00,2020-01-01 17:37:00,10.6,13.3,6.7,3.9,77.0,53.0,0.0,,,,250.0,200.0,20.5,14.8,20.5,14.8,1011.4,1010.5,,7.0